Car Name,Year,Selling Price,Present Price,Kms Driven,Fuel Type,Seller Type,Transmission,Owner
ritz,2014,4690,7826,27000,Petrol,Dealer,Manual,0
sx4,2013,6650,13356,43000,Diesel,Dealer,Manual,0
ciaz,2017,10150,13790,6900,Petrol,Dealer,Manual,0
wagon r,2011,3990,5810,5200,Petrol,Dealer,Manual,0
swift,2014,6440,9618,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,12950,13762,2071,Diesel,Dealer,Manual,0
ciaz,2015,9450,11368,18796,Petrol,Dealer,Manual,0
s cross,2015,9100,12054,33429,Diesel,Dealer,Manual,0
ciaz,2016,12250,12446,20273,Diesel,Dealer,Manual,0
ciaz,2015,10430,12488,42367,Diesel,Dealer,Manual,0
alto 800,2017,3990,5040,2135,Petrol,Dealer,Manual,0
ciaz,2015,9590,14532,51000,Diesel,Dealer,Manual,0
ciaz,2015,10500,13916,15000,Petrol,Dealer,Automatic,0
ertiga,2015,8540,10794,26000,Petrol,Dealer,Manual,0
dzire,2009,3150,10094,77427,Petrol,Dealer,Manual,0
ertiga,2016,10850,15106,43000,Diesel,Dealer,Manual,0
ertiga,2015,10150,15106,41678,Diesel,Dealer,Manual,0
ertiga,2016,10850,15106,43000,Diesel,Dealer,Manual,0
wagon r,2015,4550,7126,35500,CNG,Dealer,Manual,0
sx4,2010,3710,11172,41442,Petrol,Dealer,Manual,0
alto k10,2016,3990,5530,25000,Petrol,Dealer,Manual,0
ignis,2017,6860,7994,2400,Petrol,Dealer,Manual,0
sx4,2011,6160,11214,50000,Petrol,Dealer,Automatic,0
alto k10,2014,3500,4844,45280,Petrol,Dealer,Manual,0
wagon r,2013,4060,6174,56879,Petrol,Dealer,Manual,0
swift,2011,4200,6986,20000,Petrol,Dealer,Manual,0
swift,2013,5810,8218,55138,Petrol,Dealer,Manual,0
swift,2017,8400,9086,16200,Petrol,Individual,Manual,0
alto k10,2010,2730,5530,44542,Petrol,Dealer,Manual,0
ciaz,2015,10430,14532,45000,Diesel,Dealer,Manual,0
ritz,2012,4340,8372,51439,Diesel,Dealer,Manual,0
ritz,2011,3290,6846,54200,Petrol,Dealer,Manual,0
swift,2014,6930,10486,39000,Diesel,Dealer,Manual,0
ertiga,2014,8400,13930,45000,Diesel,Dealer,Manual,0
dzire,2014,7700,11284,45000,Diesel,Dealer,Manual,0
sx4,2011,4130,10836,49998,CNG,Dealer,Manual,0
dzire,2015,6510,10080,48767,Petrol,Dealer,Manual,0
800,2003,490,3192,127000,Petrol,Individual,Manual,0
alto k10,2016,4200,5264,10079,Petrol,Dealer,Manual,0
sx4,2003,3150,11172,62000,Petrol,Dealer,Manual,0
baleno,2016,8190,11018,24524,Petrol,Dealer,Automatic,0
alto k10,2014,3570,5572,46706,Petrol,Dealer,Manual,0
sx4,2008,2730,10010,58000,Petrol,Dealer,Manual,0
dzire,2014,7700,11284,45780,Diesel,Dealer,Manual,0
omni,2012,1750,3766,50000,Petrol,Dealer,Manual,0
ciaz,2014,10500,16856,15000,Petrol,Dealer,Automatic,0
ritz,2013,3710,6846,64532,Petrol,Dealer,Manual,0
wagon r,2006,1470,5810,65000,Petrol,Dealer,Manual,0
ertiga,2015,8120,10794,25870,Petrol,Dealer,Manual,0
ciaz,2017,10850,13006,37000,Petrol,Dealer,Automatic,0
fortuner,2012,20860,42854,104707,Diesel,Dealer,Automatic,0
fortuner,2015,32200,42854,40000,Diesel,Dealer,Automatic,0
innova,2017,25200,27678,15000,Diesel,Dealer,Automatic,0
fortuner,2013,22400,42854,135000,Diesel,Individual,Automatic,0
innova,2005,3850,14294,90000,Petrol,Individual,Manual,0
corolla altis,2009,5040,21056,70000,Petrol,Dealer,Automatic,0
etios cross,2015,6300,10178,40534,Petrol,Dealer,Manual,0
corolla altis,2010,6650,25956,50000,Petrol,Dealer,Manual,0
etios g,2014,5740,9520,39485,Petrol,Dealer,Manual,1
fortuner,2014,27986,50344,41000,Diesel,Dealer,Automatic,0
corolla altis,2013,9730,26054,40001,Petrol,Dealer,Manual,0
etios cross,2015,6300,10780,40588,Petrol,Dealer,Manual,0
fortuner,2014,26250,50344,78000,Diesel,Dealer,Automatic,0
fortuner,2015,32900,50344,47000,Diesel,Dealer,Automatic,0
fortuner,2017,46200,50722,6000,Diesel,Dealer,Automatic,0
etios liva,2014,6650,9730,45000,Diesel,Dealer,Manual,0
innova,2017,27650,32410,11000,Petrol,Dealer,Automatic,0
fortuner,2010,12950,28630,59000,Diesel,Dealer,Manual,0
corolla altis,2011,6090,19236,88000,Petrol,Dealer,Manual,0
corolla altis,2016,19950,29274,12000,Petrol,Dealer,Manual,0
etios liva,2014,5530,9464,71000,Diesel,Dealer,Manual,0
corolla altis,2011,6300,17472,45000,Diesel,Dealer,Manual,0
corolla altis,2013,10430,26054,56001,Petrol,Dealer,Manual,0
etios liva,2011,3710,7994,43000,Petrol,Dealer,Manual,0
etios cross,2014,6860,12502,83000,Diesel,Dealer,Manual,0
etios g,2015,5530,9520,36000,Petrol,Dealer,Manual,0
corolla altis,2013,7700,20552,72000,Petrol,Dealer,Manual,0
corolla,2004,2100,17290,135154,Petrol,Dealer,Automatic,0
corolla altis,2010,7350,31962,80000,Petrol,Dealer,Automatic,0
fortuner,2012,20300,42854,89000,Diesel,Dealer,Automatic,0
corolla altis,2016,20622,20846,23000,Diesel,Dealer,Manual,0
etios gd,2015,6650,10990,40000,Diesel,Dealer,Manual,0
innova,2017,32200,35546,15000,Diesel,Dealer,Automatic,0
innova,2015,17500,18844,38000,Diesel,Dealer,Manual,0
innova,2005,4886,18844,197176,Diesel,Dealer,Manual,0
camry,2006,3500,33222,142000,Petrol,Individual,Automatic,3
land cruiser,2010,49000,129640,78000,Diesel,Dealer,Manual,0
corolla altis,2012,8260,19236,56000,Petrol,Dealer,Manual,0
etios liva,2013,4830,8470,47000,Petrol,Dealer,Manual,0
etios g,2014,6650,9464,40000,Petrol,Dealer,Manual,0
corolla altis,2009,5320,26054,62000,Petrol,Dealer,Manual,0
innova,2014,15750,22526,58242,Diesel,Dealer,Manual,0
innova,2005,4914,19180,75000,Petrol,Dealer,Manual,0
fortuner,2015,32200,42854,40000,Diesel,Dealer,Automatic,0
corolla altis,2008,5600,31892,89000,Petrol,Dealer,Automatic,0
corolla altis,2012,8190,26054,72000,Petrol,Dealer,Manual,0
innova,2016,29050,35546,29000,Diesel,Dealer,Automatic,0
corolla altis,2017,23800,26096,8700,Petrol,Dealer,Manual,0
corolla altis,2013,9870,26054,45000,Petrol,Dealer,Manual,0
fortuner,2010,13510,28630,50024,Diesel,Dealer,Manual,0
Royal Enfield Thunder 500,2016,2450,2660,3000,Petrol,Individual,Manual,0
UM Renegade Mojave,2017,2380,2548,1400,Petrol,Individual,Manual,0
KTM RC200,2017,2310,2492,4000,Petrol,Individual,Manual,0
Bajaj Dominar 400,2017,2030,2240,1200,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,1890,2058,4100,Petrol,Individual,Manual,0
KTM RC390,2015,1890,3318,21700,Petrol,Individual,Manual,0
Hyosung GT250R,2014,1890,4830,16500,Petrol,Individual,Manual,1
Royal Enfield Thunder 350,2013,1750,2100,15000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1680,2100,18000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,1680,2058,11000,Petrol,Individual,Manual,0
KTM RC200,2016,1680,2492,6000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1610,2100,8700,Petrol,Individual,Manual,0
KTM 390 Duke ,2014,1610,3360,7000,Petrol,Individual,Manual,0
Mahindra Mojo XT300,2016,1610,1960,35000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1610,2058,17000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1554,2058,17500,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,1540,2058,33000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2015,1540,2660,14000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,1540,2058,26000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2013,1470,2660,5400,Petrol,Individual,Manual,0
Bajaj Pulsar RS200,2016,1470,1764,5700,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2011,1470,2100,6900,Petrol,Individual,Manual,0
Royal Enfield Bullet 350,2016,1470,1638,6000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,1400,2058,46500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2012,1330,2450,11500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2009,1260,2450,40000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,1260,1330,1300,Petrol,Individual,Manual,0
Bajaj Avenger 150,2016,1050,1120,7000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,1120,1218,3000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2017,1092,1176,5000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,1050,1218,11000,Petrol,Individual,Manual,0
Yamaha FZ 16,2015,1050,1148,18000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,1050,1330,3500,Petrol,Individual,Manual,0
Bajaj Avenger 220,2016,1008,1330,500,Petrol,Individual,Manual,0
TVS Apache RTR 160,2017,910,1134,11800,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2015,910,1036,5000,Petrol,Individual,Manual,0
Honda CBR 150,2014,910,1680,23500,Petrol,Individual,Manual,0
Hero Extreme,2013,910,1101.8,16000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2016,840,1218,15000,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2015,840,1330,16600,Petrol,Individual,Manual,0
Honda CBR 150,2013,840,1680,32000,Petrol,Individual,Manual,0
Bajaj Avenger 150 street,2016,840,1120,20000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2015,840,1176,29000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2016,840,1176,25000,Petrol,Individual,Manual,0
Bajaj Pulsar  NS 200,2014,840,1386,25000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2012,840,1134,19000,Petrol,Individual,Manual,0
Hero Extreme,2014,770,1101.8,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,770,1176,58000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2010,728,1316,45000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2016,714,1316,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2011,700,1156.4,6000,Petrol,Individual,Manual,0
Hero Passion X pro,2016,700,770,31000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,700,1386,13000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2013,700,1386,45000,Petrol,Individual,Manual,0
Yamaha Fazer ,2014,700,1232,8000,Petrol,Individual,Manual,0
Honda Activa 4G,2017,672,714,4300,Petrol,Individual,Automatic,0
TVS Sport ,2017,672,728,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,672,1176,23000,Petrol,Individual,Manual,0
Honda Dream Yuga ,2017,672,756,8600,Petrol,Individual,Manual,0
Honda Activa 4G,2017,630,714,4000,Petrol,Individual,Automatic,0
Bajaj Avenger Street 220,2011,630,1330,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2014,630,1156.4,23000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,630,1386,14500,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2010,630,1330,27000,Petrol,Individual,Manual,0
Hero Splender iSmart,2016,630,756,14000,Petrol,Individual,Manual,0
Activa 3g,2016,630,756,500,Petrol,Individual,Automatic,0
Hero Passion Pro,2016,630,770,1000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2014,588,1134,42000,Petrol,Individual,Manual,0
Honda CB Trigger,2013,588,1022,12000,Petrol,Individual,Manual,0
Hero Splender iSmart,2015,560,756,14000,Petrol,Individual,Manual,0
Yamaha FZ S ,2012,560,1162,5500,Petrol,Individual,Manual,0
Hero Passion Pro,2015,560,770,6700,Petrol,Individual,Manual,0
